Date,Open,High,Low,Close
2019-04-30,738.0,753.8,738.0,751.35
2019-05-02,747.0,748.4,729.5,730.8
2019-05-03,722.9,731.0,718.2,723.6
2019-05-06,715.0,721.8,710.65,718.4
2019-05-07,720.4,727.9,718.7,724.55
2019-05-08,721.0,726.0,716.5,719.35
2019-05-09,719.15,730.3,715.8,721.05
2019-05-10,720.8,726.0,715.0,716.85
2019-05-13,716.55,726.45,712.1,719.7
2019-05-14,716.5,717.75,703.6,713.85
2019-05-15,714.9,725.2,712.6,716.1
2019-05-16,720.0,737.0,719.1,733.1
2019-05-17,733.15,735.8,720.1,723.9
2019-05-20,719.7,726.4,706.0,722.4
2019-05-21,722.65,722.65,707.7,709.3
2019-05-22,710.0,718.25,707.0,709.75
2019-05-23,715.0,716.7,697.45,701.05
2019-05-24,703.8,711.75,700.45,709.2
2019-05-27,707.4,713.8,705.5,708.1
2019-05-28,712.0,733.45,709.8,728.1
2019-05-29,725.5,733.65,723.65,727.8
2019-05-30,727.0,737.25,722.55,733.55
2019-05-31,736.5,742.95,733.2,737.75
2019-06-03,729.8,750.9,729.0,744.65
2019-06-04,737.25,739.45,733.15,735.3
2019-06-06,736.5,744.65,733.65,735.6
2019-06-07,735.85,743.95,735.85,739.1
2019-06-10,740.1,754.1,740.1,753.5
2019-06-11,755.0,759.0,750.5,754.9
2019-06-12,756.95,756.95,745.0,753.8
2019-06-13,740.0,747.2,740.0,742.65
2019-06-14,743.85,745.5,738.25,740.45
2019-06-17,743.0,744.5,737.8,740.55
2019-06-18,740.2,752.45,740.2,750.15
2019-06-19,752.5,755.4,748.6,751.9
2019-06-20,737.8,756.9,735.9,754.9
2019-06-21,755.0,755.0,747.15,750.2
2019-06-24,751.9,751.9,742.65,745.5
2019-06-25,744.0,750.9,737.3,748.1
2019-06-26,743.0,751.45,738.0,739.2
2019-06-27,742.0,744.7,728.15,730.55
2019-06-28,735.5,739.5,728.5,732.0
2019-07-01,735.0,737.5,729.85,731.3
2019-07-02,734.0,741.65,730.1,740.0
2019-07-03,741.0,743.2,730.0,731.3
2019-07-04,729.0,736.4,728.6,733.8
2019-07-05,735.0,736.4,713.5,718.0
2019-07-08,716.45,724.95,712.3,717.6
2019-07-09,718.0,719.85,709.05,715.5
2019-07-10,709.0,722.7,706.5,717.25
2019-07-11,719.45,723.5,709.6,721.5
2019-07-12,722.5,730.6,719.6,726.75
2019-07-15,763.0,781.65,754.2,779.35
2019-07-16,777.0,787.8,776.0,784.85
2019-07-17,783.9,795.0,776.75,794.15
2019-07-18,789.05,798.5,786.2,792.7
2019-07-19,788.7,794.5,781.25,785.4
2019-07-22,785.95,792.0,782.05,784.4
2019-07-23,787.0,804.0,785.55,790.05
2019-07-24,788.0,793.75,783.6,786.3
2019-07-25,788.25,800.2,787.65,794.5
2019-07-26,792.3,795.0,782.2,787.0
2019-07-29,789.5,796.95,786.2,791.45
2019-07-30,791.9,797.8,788.55,792.7
2019-07-31,790.85,799.8,781.6,793.65
2019-08-01,786.45,788.4,764.4,768.85
2019-08-02,765.05,779.9,762.25,775.6
2019-08-05,772.6,785.9,768.65,776.7
2019-08-06,778.8,783.7,769.8,774.45
2019-08-07,778.9,783.45,772.35,776.1
2019-08-08,782.7,792.75,781.25,788.75
2019-08-09,792.0,796.75,784.8,789.85
2019-08-13,784.15,786.0,760.15,764.75
2019-08-14,775.1,778.25,768.0,774.8
2019-08-16,780.0,780.05,762.5,774.55
2019-08-19,775.6,783.0,773.35,777.65
2019-08-20,785.2,798.0,783.85,792.75
2019-08-21,793.0,803.75,793.0,799.45
2019-08-22,799.9,801.3,792.35,795.7
2019-08-23,796.45,809.95,795.8,802.2
2019-08-26,795.9,806.8,786.9,802.55
2019-08-27,791.0,794.95,781.1,784.65
2019-08-28,787.4,805.0,786.3,802.5
2019-08-29,795.5,809.7,795.5,806.95
2019-08-30,810.0,817.35,802.0,814.9
2019-09-03,815.0,822.4,812.05,814.25
2019-09-04,810.75,822.45,810.25,821.3
2019-09-05,830.1,837.5,826.65,834.05
2019-09-06,843.3,847.0,835.05,840.15
2019-09-09,836.8,840.3,827.55,829.1
2019-09-11,822.3,828.55,814.15,820.1
2019-09-12,816.4,819.85,810.85,816.4
2019-09-13,818.1,831.05,817.5,829.3
2019-09-16,832.05,837.95,820.55,827.7
2019-09-17,831.5,835.0,820.55,831.25
2019-09-18,829.9,832.95,824.0,829.85
2019-09-19,824.85,827.0,815.2,820.7
2019-09-20,822.9,835.0,802.0,805.0
2019-09-23,806.9,806.9,741.9,764.35
2019-09-24,765.0,798.65,765.0,794.05
2019-09-25,787.7,801.0,781.65,792.65
2019-09-26,787.75,797.0,778.1,782.55
2019-09-27,787.05,794.25,780.1,782.2
2019-09-30,785.1,808.0,784.15,805.65
2019-10-01,807.0,807.55,791.55,793.55
2019-10-03,792.55,797.85,784.15,785.6
2019-10-04,790.0,797.6,787.05,793.45
2019-10-07,794.85,802.0,786.1,789.55
2019-10-09,795.45,795.9,778.8,783.65
2019-10-10,785.4,794.7,776.6,783.05
2019-10-11,781.5,823.8,776.6,814.8
2019-10-14,786.75,797.0,780.0,786.1
2019-10-15,773.1,775.95,765.0,768.3
2019-10-16,765.25,775.95,761.55,771.45
2019-10-17,767.0,770.55,765.1,769.5
2019-10-18,763.8,773.8,760.0,767.85
2019-10-22,691.1,691.1,638.35,643.55
2019-10-23,630.0,656.65,615.1,650.6
2019-10-24,650.0,653.2,632.0,635.35
2019-10-25,647.0,652.5,636.0,637.45
2019-10-27,651.1,652.5,645.55,648.85
2019-10-29,651.0,653.75,647.0,650.65
2019-10-30,660.4,671.4,656.2,660.6
2019-10-31,668.4,695.45,666.1,685.6
2019-11-01,690.0,694.0,682.6,687.9
2019-11-04,681.8,732.5,678.15,709.0
2019-11-05,708.75,708.75,691.5,696.1
2019-11-06,695.8,721.5,692.0,712.3
2019-11-07,717.0,724.35,712.1,720.1
2019-11-08,722.0,724.25,705.5,708.15
2019-11-11,698.9,707.2,698.0,704.4
2019-11-13,696.5,700.0,687.75,691.35
2019-11-14,696.35,709.8,696.35,705.3
2019-11-15,709.05,712.95,702.3,703.9
2019-11-18,705.0,710.0,699.3,705.2
2019-11-19,709.9,714.0,705.0,712.85
2019-11-20,712.8,715.0,705.0,713.0
2019-11-21,715.5,721.45,710.5,713.25
2019-11-22,711.75,712.0,685.1,693.2
2019-11-25,693.35,705.15,693.2,698.1
2019-11-26,705.0,707.25,686.0,690.6
2019-11-27,694.25,697.65,690.1,695.75
2019-11-28,699.1,703.35,694.05,701.85
2019-11-29,700.9,702.3,691.55,696.35
2019-12-02,703.1,704.0,690.3,692.7
2019-12-03,692.7,699.7,688.55,698.35
2019-12-04,697.0,710.5,693.35,708.85
2019-12-05,706.45,715.9,703.8,714.85
2019-12-06,715.95,720.0,709.6,715.1
2019-12-09,716.0,722.35,714.25,717.25
2019-12-10,713.0,718.5,710.0,714.55
2019-12-11,716.6,722.7,713.0,721.05
2019-12-12,718.5,720.7,699.55,702.1
2019-12-13,700.35,712.9,700.35,711.3
2019-12-16,712.3,720.2,710.2,714.0
2019-12-17,719.7,731.25,715.0,729.7
2019-12-18,731.0,737.3,722.75,732.45
2019-12-19,733.5,735.95,724.6,730.85
2019-12-20,731.0,735.0,728.25,731.55
2019-12-23,732.15,737.3,731.65,736.0
2019-12-24,736.95,736.95,728.3,733.4
2019-12-26,732.0,734.55,726.55,728.95
