game,return
2,-0.11111111111111116
3,-0.0625
4,-0.06666666666666665
5,-0.0714285714285714
6,-0.07692307692307687
7,-0.16666666666666663
8,-0.09999999999999998
9,-0.11111111111111116
10,-0.125
