game,return
2,-0.0625
3,-0.06666666666666665
4,-0.0714285714285714
5,-0.07692307692307687
6,-0.08333333333333337
7,-0.09090909090909094
8,-0.09999999999999998
9,-0.11111111111111116
10,-0.125
