game,return
2,-0.11111111111111116
3,-0.09999999999999998
4,-0.11111111111111116
5,-0.0625
6,-0.06666666666666665
7,-0.0714285714285714
8,-0.07692307692307687
9,-0.08333333333333337
10,-0.09090909090909094
