game,return
2,-0.15384615384615385
3,-0.09090909090909094
4,-0.19999999999999996
5,-0.1875
6,-0.15384615384615385
7,-0.3090909090909091
8,-0.368421052631579
9,-0.375
10,-0.9333333333333333
