Date,Return
2019-05-02,-0.02359882005899694
2019-05-03,-0.006042296072507614
2019-05-06,0.0023158199449992978
2019-05-07,-0.015884476534296033
2019-05-08,-0.009537784299339713
2019-05-09,0.008592592592592485
2019-05-10,0.0033783783783785104
2019-05-13,-0.02781437564046263
2019-05-14,0.039451889775636184
2019-05-15,-0.03882369984064893
2019-05-16,-0.0076865109269028675
2019-05-17,0.011695018226002496
2019-05-20,0.037682029725266464
2019-05-21,-0.0199652777777779
2019-05-22,-0.005314437555358764
2019-05-23,0.003116651825467498
2019-05-24,0.010948365142772642
2019-05-27,0.019610712717693657
2019-05-28,0.0011482704176832836
2019-05-29,0.014336917562723928
2019-05-30,0.015547703180212036
2019-05-31,0.004871259568545616
2019-06-03,-0.0098337950138504
2019-06-04,0.002238075255280414
2019-06-06,-0.11709699930216322
2019-06-07,-0.007745810938981967
2019-06-10,-0.02102915405448469
2019-06-11,-0.003905614320585782
2019-06-12,0.01323313184120245
2019-06-13,-0.006449532408900338
2019-06-14,0.0012982797792924217
2019-06-17,-0.008265802269043832
2019-06-18,0.006863866644876593
2019-06-19,-0.0009738678785912169
2019-06-20,0.011047928513403749
2019-06-21,0.0014462477904548798
2019-06-24,-0.01572528883183577
2019-06-25,0.009781545484186527
2019-06-26,-0.001453019050694171
2019-06-27,-0.008407437348423641
2019-06-28,0.017283548018914185
2019-07-01,0.0024042314473473603
2019-07-02,-0.004317236968340188
2019-07-03,-0.01959209892404057
2019-07-04,0.00835380835380839
2019-07-05,-0.004548408057180042
2019-07-08,-0.01403394255874657
2019-07-09,-0.5130751406818934
2019-07-10,-0.014615907545887152
2019-07-11,0.017247326664367124
2019-07-12,-0.005425567989148727
2019-07-15,-0.007841800204568705
2019-07-16,0.01271477663230236
2019-07-17,-0.02680692229385806
2019-07-18,-0.010111576011157752
2019-07-19,-0.030644593166607947
2019-07-22,0.0029069767441860517
2019-07-23,0.004347826086956497
2019-07-24,-0.01406926406926401
2019-07-25,-0.013904134650567168
2019-07-26,-0.013358070500927743
2019-07-29,-0.011658518239939686
2019-07-30,-0.017123287671232834
2019-07-31,-0.0023228803716609514
2019-08-01,-0.0019402405898331088
2019-08-02,-0.007387247278382469
2019-08-05,-0.03681942812377592
2019-08-06,0.0032533550223667884
2019-08-07,-0.01337657073368459
2019-08-08,0.0020542317173377622
2019-08-09,0.015580155801558027
2019-08-13,0.017359709325797335
2019-08-14,0.005952380952380931
2019-08-16,0.02287968441814603
2019-08-19,-0.018125723100655633
2019-08-20,0.0003927729772190691
2019-08-21,-0.03808402041617587
2019-08-22,-0.01510204081632649
2019-08-23,0.031081641110650704
2019-08-26,0.016077170418006492
2019-08-27,0.030063291139240444
2019-08-28,-0.016513056835637308
2019-08-29,0.0035142522452167313
2019-08-30,0.010116731517509914
2019-09-03,-0.023112480739599484
2019-09-04,0.0039432176656151174
2019-09-05,0.02867242733699915
2019-09-06,0.00305460099274546
2019-09-09,0.0060905976398935024
2019-09-11,-0.027998486568293734
2019-09-12,-0.021019852082522328
2019-09-13,0.027833001988071482
2019-09-16,0.0034816247582203363
2019-09-17,0.016962220508866643
2019-09-18,0.023123578468536632
2019-09-19,-0.01407928862541663
2019-09-20,0.012401352874858995
2019-09-23,0.048997772828508035
2019-09-24,-0.014508138711960439
2019-09-25,-0.02010771992818683
2019-09-26,0.004763649688530602
2019-09-27,-0.02151714077315825
2019-09-30,0.002609019754006736
2019-10-01,-0.011895910780669094
2019-10-03,-0.009029345372460584
2019-10-04,0.003416856492027387
2019-10-07,-0.014755959137344066
2019-10-09,0.014592933947772613
2019-10-10,-0.03595760787282365
2019-10-11,-0.018845700824499323
2019-10-14,0.007202881152460927
2019-10-15,0.017878426698450633
2019-10-16,-0.010148321623731471
2019-10-17,0.015378548895899069
2019-10-18,0.006213592233009768
2019-10-22,-0.0003859513701274242
2019-10-23,-0.006563706563706528
2019-10-24,-0.037310532452390244
2019-10-25,-0.00645942672587807
2019-10-27,0.004876066639577514
2019-10-29,0.017792155276991517
2019-10-30,0.061581247516885096
2019-10-31,0.028068862275449025
2019-11-01,-0.016017473607571775
2019-11-04,0.014058453570107377
2019-11-05,0.002553812477197992
2019-11-06,-0.005094614264920083
2019-11-07,-0.033650329188002925
2019-11-08,-0.03822861468584404
2019-11-11,0.025974025974025983
2019-11-13,-0.04986574606827776
2019-11-14,-0.016552280985062562
2019-11-15,0.020525451559934238
2019-11-18,0.004022526146419958
2019-11-19,0.0024038461538460343
2019-11-20,-0.004796163069544335
2019-11-21,-0.02048192771084334
2019-11-22,0.003280032800327959
2019-11-25,-0.002043318348998735
2019-11-26,0.023751023751023892
2019-11-27,-0.0043999999999999595
2019-11-28,0.01084773001205308
2019-11-29,0.001987281399046026
2019-12-02,0.004363347877826218
2019-12-03,-0.024091627172195818
2019-12-04,-0.002428166734115722
2019-12-05,-0.016632860040567965
2019-12-06,-0.033415841584158446
2019-12-09,-0.008109261630388387
2019-12-10,-0.044320137693631745
2019-12-11,0.05628095452498871
2019-12-12,0.01406649616368294
2019-12-13,0.007145859604875904
2019-12-16,0.011686143572620988
2019-12-17,-0.011551155115511635
2019-12-18,-0.02045075125208684
2019-12-19,0.0029825308904984915
2019-12-20,0.01571792693288021
2019-12-23,0.008782936010037545
2019-12-24,-0.0070480928689883315
2019-12-26,-0.013778705636743216
2019-12-27,0.0038103302286198737
2019-12-30,0.002952340784479146
2019-12-31,0.01808242220353229
2020-01-01,0.0012391573729864103
2020-01-02,0.019389438943894444
2020-01-03,0.016997167138810276
