Date,Return
2019-05-02,0.020386266094420513
2019-05-03,0.0034174553101997684
2019-05-06,-0.0020958868221115923
2019-05-07,0.0057757941716987116
2019-05-08,-0.008091882015139662
2019-05-09,-0.011052631578947314
2019-05-10,-0.012506652474720603
2019-05-13,-0.015629210455402887
2019-05-14,-0.00547495209416915
2019-05-15,-0.017341040462427793
2019-05-16,0.018767507002801054
2019-05-17,0.001649711300522494
2019-05-20,0.03239088663189671
2019-05-21,-0.021802712044669104
2019-05-22,-0.01005708072845879
2019-05-23,0.014003294892916074
2019-05-24,0.00541565123206067
2019-05-27,0.00915701589011575
2019-05-28,0.015212169735788539
2019-05-29,-0.0002628811777075635
2019-05-30,0.005521956350249768
2019-05-31,-0.009937238493723743
2019-06-03,0.019809825673534176
2019-06-04,-0.0005180005180006608
2019-06-06,0.01295672454003638
2019-06-07,-0.018930672806344306
2019-06-10,0.013298565840938803
2019-06-11,-0.0033453422542459865
2019-06-12,-0.01290988897495482
2019-06-13,0.01412503269683496
2019-06-14,0.003868970853752929
2019-06-17,-0.0028263103802671496
2019-06-18,0.019324916258696145
2019-06-19,0.012639029322548012
2019-06-20,0.0032451323015476596
2019-06-21,-0.005225180393132578
2019-06-24,-0.004252126063031492
2019-06-25,0.012810851544837965
2019-06-26,0.03993055555555558
2019-06-27,-0.009301216312902483
2019-06-28,-0.003851709195955677
2019-07-01,0.0007249879168680362
2019-07-02,0.0014489253803429136
2019-07-03,0.007716421509524896
2019-07-04,0.00598229241445325
2019-07-05,-0.020694576593720204
2019-07-08,-0.022346368715083775
2019-07-09,0.017391304347825987
2019-07-10,0.0026862026862026767
2019-07-11,0.016074037993180523
2019-07-12,-0.00910834132310645
2019-07-15,-0.00846637639090464
2019-07-16,0.019272993413027573
2019-07-17,-0.004308281474389664
2019-07-18,-0.012740384615384626
2019-07-19,0.0017044071098124558
2019-07-22,-0.007778317938745727
2019-07-23,0.031112199902008753
2019-07-24,-0.0030886196246138198
2019-07-25,0.015967588179218284
2019-07-26,-0.007506450856204494
2019-07-29,-0.0172536043488537
2019-07-30,0.0016835016835017313
2019-07-31,0.01224489795918382
2019-08-01,0.015180265654648917
2019-08-02,-0.01612149532710272
2019-08-05,-0.044644977440038036
2019-08-06,-0.015162813820531973
2019-08-07,0.0037859666834931804
2019-08-08,0.019361327633894865
2019-08-09,-0.00345337937839163
2019-08-13,0.0
2019-08-14,0.015594059405940719
2019-08-16,0.029246892517670098
2019-08-19,-0.01941747572815533
2019-08-20,-0.004829751267809712
2019-08-21,-0.005581169619024551
2019-08-22,-0.010492923377257268
2019-08-23,-0.006165228113440224
2019-08-26,0.006947890818858493
2019-08-27,0.017989157220305696
2019-08-28,-0.0038731541999516006
2019-08-29,-0.0046172539489671705
2019-08-30,-0.02099609375
2019-09-03,-0.017206982543640836
2019-09-04,-0.0007612281146917033
2019-09-05,0.01244286439817155
2019-09-06,0.020817657386506205
2019-09-09,-0.0029484029484029284
2019-09-11,-0.007392804337111869
2019-09-12,-0.0086891757696127
2019-09-13,0.015026296018031626
2019-09-16,-0.002467308166790083
2019-09-17,-0.008409596834034194
2019-09-18,0.007982040409079794
2019-09-19,-0.0044543429844098315
2019-09-20,-0.02460850111856827
2019-09-23,-0.040265035677879646
2019-09-24,0.011417950079660066
2019-09-25,0.04358099238645319
2019-09-26,0.002515723270440251
2019-09-27,-0.005771643663739057
2019-09-30,0.0047955577990914655
2019-10-01,-0.012810851544838076
2019-10-03,0.01323155216284988
2019-10-04,-0.012807634354595643
2019-10-07,-0.0002543881963877892
2019-10-09,0.006106870229007466
2019-10-10,0.0070814365199798335
2019-10-11,0.00954294324460081
2019-10-14,-0.012935323383084563
2019-10-15,0.014364919354838745
2019-10-16,-0.013416149068322891
2019-10-17,-0.004281037522034903
2019-10-18,0.02453211937278721
2019-10-22,0.012342631449024921
2019-10-23,0.005852231163130828
2019-10-24,-0.010424242424242447
2019-10-25,-0.0056344928956394424
2019-10-27,-0.002956393200295615
2019-10-29,-0.006424511984185699
2019-10-30,-0.0054712758020394325
2019-10-31,-0.008002000500125006
2019-11-01,-0.005293672800604887
2019-11-04,-0.01292448048656869
2019-11-05,0.003337612323491612
2019-11-06,-0.0015353121801433556
2019-11-07,-0.0046130189646335085
2019-11-08,-0.013130792996910334
2019-11-11,0.0005217845030003332
2019-11-13,-0.013037809647979182
2019-11-14,-0.006605019815059454
2019-11-15,-0.0018617021276595702
2019-11-18,0.015987210231814597
2019-11-19,0.025177025963807997
2019-11-20,0.0033256587362497925
2019-11-21,0.0010198878123406363
2019-11-22,0.012480896586856804
2019-11-25,-0.0007547169811320531
2019-11-26,-0.02114803625377637
2019-11-27,0.0036008230452673207
2019-11-28,0.00538185545873926
2019-11-29,-0.014529696660718794
2019-12-02,-0.009829280910501836
2019-12-03,-0.010449320794148398
2019-12-04,-0.0052798310454065245
2019-12-05,-0.0058386411889596035
2019-12-06,-0.0037373198077951253
2019-12-09,0.007234726688102766
2019-12-10,-0.027666932694865642
2019-12-11,-0.005471956224350261
2019-12-12,0.016506189821182904
2019-12-13,0.005142083897158312
2019-12-16,0.006731287022078591
2019-12-17,0.005883926183471555
2019-12-18,-0.004520074448285172
2019-12-19,-0.004273504273504147
2019-12-20,-0.0016094420600859527
2019-12-23,-0.001612036539494821
2019-12-24,0.0072658772874056865
2019-12-26,-0.012289607266898317
2019-12-27,0.022721125236678574
2019-12-30,0.006612007405448317
2019-12-31,-0.00026274303730955406
2020-01-01,0.02759526938239154
2020-01-02,-0.002046035805626678
